run,peakI,timeToPeak,finalR,duration,attackRate
run_seed42,40,14,50,106,1.0000
run_seed43,32,14,50,80,1.0000
run_seed44,34,16,50,74,1.0000
run_seed45,36,16,50,68,1.0000
run_seed46,36,11,50,156,1.0000
run_seed47,39,19,50,85,1.0000
run_seed48,33,9,50,126,1.0000
run_seed49,32,19,50,91,1.0000
run_seed50,26,19,50,91,1.0000
run_seed51,32,14,50,111,1.0000
run_seed52,34,16,50,193,1.0000
run_seed53,35,9,50,95,1.0000
run_seed54,30,11,50,79,1.0000
run_seed55,31,16,50,65,1.0000
run_seed56,29,20,50,91,1.0000
run_seed57,38,15,50,109,1.0000
run_seed58,34,17,50,73,1.0000
run_seed59,28,17,50,97,1.0000
run_seed60,2,0,4,5,0.0800
run_seed61,34,17,50,82,1.0000
