run,peakI,timeToPeak,finalR,duration,attackRate
run_seed42,22,30,50,87,1.0000
run_seed43,26,21,50,69,1.0000
run_seed44,28,21,50,79,1.0000
run_seed45,21,25,50,110,1.0000
run_seed46,26,21,50,75,1.0000
run_seed47,21,21,50,135,1.0000
run_seed48,29,16,50,95,1.0000
run_seed49,2,0,12,8,0.2400
run_seed50,25,25,50,148,1.0000
run_seed51,24,23,50,103,1.0000
run_seed52,20,14,46,82,0.9200
run_seed53,24,20,50,92,1.0000
run_seed54,24,24,50,157,1.0000
run_seed55,21,21,50,89,1.0000
run_seed56,20,27,50,91,1.0000
run_seed57,22,29,48,93,0.9600
run_seed58,26,21,50,111,1.0000
run_seed59,16,23,50,193,1.0000
run_seed60,18,22,49,90,0.9800
run_seed61,23,26,49,87,0.9800
