run,peakI,timeToPeak,finalR,duration,attackRate
run_seed42,23,11,50,99,1.0000
run_seed43,26,21,50,98,1.0000
run_seed44,24,17,50,124,1.0000
run_seed45,26,15,50,90,1.0000
run_seed46,19,18,50,102,1.0000
run_seed47,24,13,50,151,1.0000
run_seed48,24,14,50,78,1.0000
run_seed49,24,23,50,87,1.0000
run_seed50,31,12,50,77,1.0000
run_seed51,24,14,50,97,1.0000
run_seed52,24,17,50,100,1.0000
run_seed53,22,20,50,82,1.0000
run_seed54,25,10,50,56,1.0000
run_seed55,23,11,50,64,1.0000
run_seed56,17,17,50,108,1.0000
run_seed57,2,0,17,9,0.3400
run_seed58,23,21,50,81,1.0000
run_seed59,21,26,50,97,1.0000
run_seed60,26,13,50,78,1.0000
run_seed61,19,26,50,93,1.0000
