step,S,I,R
0,48,2,0
1,45,5,0
2,41,9,0
3,37,13,0
4,31,18,1
5,24,25,1
6,20,28,2
7,13,32,5
8,10,33,7
9,7,35,8
10,7,30,13
11,6,30,14
12,6,27,17
13,5,26,19
14,4,27,19
15,2,27,21
16,2,25,23
17,1,26,23
18,0,26,24
19,0,26,24
20,0,24,26
21,0,24,26
22,0,24,26
23,0,21,29
24,0,21,29
25,0,18,32
26,0,18,32
27,0,18,32
28,0,17,33
29,0,13,37
30,0,13,37
31,0,12,38
32,0,12,38
33,0,12,38
34,0,12,38
35,0,12,38
36,0,11,39
37,0,9,41
38,0,9,41
39,0,9,41
40,0,9,41
41,0,8,42
42,0,8,42
43,0,7,43
44,0,5,45
45,0,5,45
46,0,5,45
47,0,5,45
48,0,5,45
49,0,4,46
50,0,4,46
51,0,4,46
52,0,4,46
53,0,4,46
54,0,4,46
55,0,2,48
56,0,2,48
57,0,2,48
58,0,2,48
59,0,2,48
60,0,2,48
61,0,2,48
62,0,2,48
63,0,2,48
64,0,2,48
65,0,2,48
66,0,2,48
67,0,2,48
68,0,2,48
69,0,2,48
70,0,2,48
71,0,2,48
72,0,2,48
73,0,2,48
74,0,2,48
75,0,1,49
76,0,1,49
77,0,1,49
78,0,1,49
79,0,1,49
80,0,1,49
81,0,1,49
82,0,1,49
83,0,1,49
84,0,1,49
85,0,1,49
86,0,1,49
87,0,1,49
88,0,1,49
89,0,1,49
90,0,1,49
91,0,1,49
92,0,1,49
93,0,1,49
94,0,1,49
95,0,1,49
96,0,0,50
