step,S,I,R
0,48,2,0
1,46,4,0
2,44,6,0
3,41,8,1
4,40,9,1
5,35,14,1
6,34,15,1
7,27,21,2
8,18,29,3
9,12,33,5
10,7,35,8
11,5,36,9
12,5,33,12
13,3,29,18
14,2,29,19
15,2,26,22
16,1,25,24
17,1,24,25
18,1,24,25
19,1,23,26
20,1,22,27
21,1,20,29
22,1,19,30
23,1,18,31
24,1,18,31
25,1,17,32
26,1,17,32
27,1,16,33
28,0,16,34
29,0,15,35
30,0,15,35
31,0,14,36
32,0,14,36
33,0,14,36
34,0,14,36
35,0,14,36
36,0,14,36
37,0,14,36
38,0,12,38
39,0,10,40
40,0,10,40
41,0,9,41
42,0,9,41
43,0,7,43
44,0,7,43
45,0,7,43
46,0,6,44
47,0,6,44
48,0,6,44
49,0,6,44
50,0,5,45
51,0,5,45
52,0,5,45
53,0,5,45
54,0,5,45
55,0,5,45
56,0,5,45
57,0,5,45
58,0,5,45
59,0,5,45
60,0,4,46
61,0,4,46
62,0,3,47
63,0,3,47
64,0,3,47
65,0,3,47
66,0,3,47
67,0,3,47
68,0,3,47
69,0,3,47
70,0,3,47
71,0,3,47
72,0,2,48
73,0,2,48
74,0,2,48
75,0,2,48
76,0,2,48
77,0,2,48
78,0,1,49
79,0,1,49
80,0,1,49
81,0,1,49
82,0,1,49
83,0,1,49
84,0,1,49
85,0,1,49
86,0,1,49
87,0,1,49
88,0,1,49
89,0,1,49
90,0,1,49
91,0,1,49
92,0,1,49
93,0,1,49
94,0,1,49
95,0,1,49
96,0,1,49
97,0,1,49
98,0,1,49
99,0,1,49
100,0,1,49
101,0,1,49
102,0,1,49
103,0,1,49
104,0,1,49
105,0,1,49
106,0,1,49
107,0,1,49
108,0,1,49
109,0,1,49
110,0,1,49
111,0,1,49
112,0,1,49
113,0,1,49
114,0,1,49
115,0,1,49
116,0,1,49
117,0,1,49
118,0,1,49
119,0,1,49
120,0,1,49
121,0,1,49
122,0,1,49
123,0,1,49
124,0,1,49
125,0,1,49
126,0,1,49
127,0,1,49
128,0,1,49
129,0,1,49
130,0,1,49
131,0,1,49
132,0,1,49
133,0,1,49
134,0,1,49
135,0,1,49
136,0,1,49
137,0,1,49
138,0,1,49
139,0,1,49
140,0,1,49
141,0,1,49
142,0,1,49
143,0,1,49
144,0,1,49
145,0,1,49
146,0,1,49
147,0,1,49
148,0,1,49
149,0,1,49
150,0,1,49
151,0,1,49
152,0,1,49
153,0,1,49
154,0,1,49
155,0,1,49
156,0,1,49
157,0,0,50
