step,S,I,R
0,38,2,10
1,37,3,10
2,36,4,10
3,36,4,10
4,33,7,10
5,31,8,11
6,31,8,11
7,27,12,11
8,26,13,11
9,23,14,13
10,23,13,14
11,21,15,14
12,21,14,15
13,21,13,16
14,20,14,16
15,20,12,18
16,19,12,19
17,18,13,19
18,17,12,21
19,17,12,21
20,16,13,21
21,15,13,22
22,15,12,23
23,14,13,23
24,14,13,23
25,13,14,23
26,10,17,23
27,10,17,23
28,9,18,23
29,7,20,23
30,5,22,23
31,5,21,24
32,5,20,25
33,5,19,26
34,4,19,27
35,4,17,29
36,3,18,29
37,3,18,29
38,2,19,29
39,1,19,30
40,1,18,31
41,1,17,32
42,1,16,33
43,1,15,34
44,1,15,34
45,1,14,35
46,1,14,35
47,1,14,35
48,1,14,35
49,1,14,35
50,0,14,36
51,0,14,36
52,0,14,36
53,0,13,37
54,0,12,38
55,0,12,38
56,0,11,39
57,0,10,40
58,0,10,40
59,0,10,40
60,0,10,40
61,0,10,40
62,0,7,43
63,0,7,43
64,0,5,45
65,0,4,46
66,0,3,47
67,0,3,47
68,0,3,47
69,0,2,48
70,0,2,48
71,0,2,48
72,0,2,48
73,0,2,48
74,0,2,48
75,0,2,48
76,0,2,48
77,0,2,48
78,0,2,48
79,0,1,49
80,0,1,49
81,0,1,49
82,0,1,49
83,0,1,49
84,0,1,49
85,0,1,49
86,0,1,49
87,0,1,49
88,0,0,50
