step,S,I,R
0,38,2,10
1,37,2,11
2,35,3,12
3,35,2,13
4,35,2,13
5,33,4,13
6,31,5,14
7,31,5,14
8,30,5,15
9,28,6,16
10,26,8,16
11,24,10,16
12,23,11,16
13,22,12,16
14,21,11,18
15,20,11,19
16,18,12,20
17,17,12,21
18,15,14,21
19,13,16,21
20,12,17,21
21,8,21,21
22,7,21,22
23,7,18,25
24,7,18,25
25,7,18,25
26,7,18,25
27,6,19,25
28,5,19,26
29,4,19,27
30,4,17,29
31,4,15,31
32,4,15,31
33,4,14,32
34,4,13,33
35,3,14,33
36,3,14,33
37,3,14,33
38,2,14,34
39,2,13,35
40,2,13,35
41,2,13,35
42,1,13,36
43,1,12,37
44,1,11,38
45,1,11,38
46,1,11,38
47,1,11,38
48,1,11,38
49,1,11,38
50,1,10,39
51,1,10,39
52,0,11,39
53,0,11,39
54,0,11,39
55,0,10,40
56,0,10,40
57,0,10,40
58,0,10,40
59,0,9,41
60,0,9,41
61,0,9,41
62,0,9,41
63,0,8,42
64,0,8,42
65,0,8,42
66,0,8,42
67,0,8,42
68,0,8,42
69,0,8,42
70,0,8,42
71,0,8,42
72,0,8,42
73,0,8,42
74,0,8,42
75,0,8,42
76,0,7,43
77,0,7,43
78,0,7,43
79,0,7,43
80,0,7,43
81,0,7,43
82,0,6,44
83,0,6,44
84,0,6,44
85,0,5,45
86,0,5,45
87,0,5,45
88,0,5,45
89,0,5,45
90,0,5,45
91,0,5,45
92,0,5,45
93,0,5,45
94,0,4,46
95,0,4,46
96,0,4,46
97,0,4,46
98,0,4,46
99,0,4,46
100,0,4,46
101,0,4,46
102,0,4,46
103,0,4,46
104,0,4,46
105,0,4,46
106,0,3,47
107,0,3,47
108,0,3,47
109,0,3,47
110,0,3,47
111,0,3,47
112,0,3,47
113,0,3,47
114,0,3,47
115,0,3,47
116,0,2,48
117,0,1,49
118,0,1,49
119,0,1,49
120,0,1,49
121,0,1,49
122,0,1,49
123,0,1,49
124,0,1,49
125,0,1,49
126,0,1,49
127,0,1,49
128,0,1,49
129,0,1,49
130,0,1,49
131,0,1,49
132,0,1,49
133,0,1,49
134,0,1,49
135,0,1,49
136,0,0,50
