step,S,I,R
0,48,2,0
1,48,2,0
2,48,2,0
3,48,2,0
4,47,3,0
5,47,2,1
6,46,3,1
7,45,3,2
8,45,3,2
9,44,3,3
10,41,6,3
11,41,5,4
12,41,5,4
13,38,8,4
14,37,9,4
15,36,9,5
16,35,10,5
17,33,11,6
18,29,15,6
19,24,19,7
20,20,23,7
21,16,26,8
22,15,26,9
23,12,28,10
24,10,28,12
25,8,29,13
26,7,29,14
27,5,31,14
28,3,31,16
29,2,29,19
30,1,29,20
31,1,29,20
32,1,29,20
33,1,27,22
34,1,25,24
35,1,24,25
36,1,24,25
37,1,24,25
38,1,21,28
39,1,19,30
40,1,19,30
41,1,18,31
42,1,17,32
43,1,17,32
44,0,17,33
45,0,16,34
46,0,15,35
47,0,14,36
48,0,14,36
49,0,14,36
50,0,13,37
51,0,13,37
52,0,13,37
53,0,10,40
54,0,10,40
55,0,10,40
56,0,9,41
57,0,9,41
58,0,9,41
59,0,9,41
60,0,8,42
61,0,8,42
62,0,7,43
63,0,7,43
64,0,7,43
65,0,7,43
66,0,5,45
67,0,5,45
68,0,4,46
69,0,4,46
70,0,4,46
71,0,4,46
72,0,4,46
73,0,4,46
74,0,4,46
75,0,4,46
76,0,4,46
77,0,4,46
78,0,4,46
79,0,4,46
80,0,4,46
81,0,4,46
82,0,4,46
83,0,4,46
84,0,4,46
85,0,4,46
86,0,4,46
87,0,4,46
88,0,4,46
89,0,4,46
90,0,3,47
91,0,3,47
92,0,3,47
93,0,3,47
94,0,3,47
95,0,3,47
96,0,3,47
97,0,3,47
98,0,3,47
99,0,3,47
100,0,3,47
101,0,3,47
102,0,3,47
103,0,3,47
104,0,3,47
105,0,2,48
106,0,2,48
107,0,1,49
108,0,1,49
109,0,1,49
110,0,1,49
111,0,1,49
112,0,1,49
113,0,1,49
114,0,1,49
115,0,1,49
116,0,1,49
117,0,1,49
118,0,1,49
119,0,1,49
120,0,1,49
121,0,1,49
122,0,1,49
123,0,1,49
124,0,1,49
125,0,1,49
126,0,1,49
127,0,0,50
