step,S,I,R
0,48,2,0
1,45,5,0
2,43,7,0
3,40,10,0
4,37,13,0
5,33,16,1
6,26,22,2
7,20,27,3
8,18,27,5
9,17,26,7
10,15,28,7
11,15,26,9
12,13,26,11
13,12,26,12
14,10,28,12
15,9,29,12
16,7,31,12
17,7,31,12
18,7,28,15
19,6,25,19
20,4,27,19
21,4,27,19
22,2,29,19
23,1,28,21
24,0,28,22
25,0,28,22
26,0,26,24
27,0,25,25
28,0,24,26
29,0,21,29
30,0,20,30
31,0,20,30
32,0,18,32
33,0,17,33
34,0,16,34
35,0,16,34
36,0,16,34
37,0,15,35
38,0,14,36
39,0,13,37
40,0,12,38
41,0,11,39
42,0,11,39
43,0,10,40
44,0,9,41
45,0,8,42
46,0,7,43
47,0,6,44
48,0,6,44
49,0,5,45
50,0,4,46
51,0,3,47
52,0,3,47
53,0,3,47
54,0,3,47
55,0,3,47
56,0,3,47
57,0,3,47
58,0,3,47
59,0,3,47
60,0,2,48
61,0,2,48
62,0,2,48
63,0,2,48
64,0,2,48
65,0,1,49
66,0,1,49
67,0,1,49
68,0,1,49
69,0,1,49
70,0,1,49
71,0,1,49
72,0,0,50
