step,S,I,R
0,34,2,14
1,34,2,14
2,33,3,14
3,33,3,14
4,32,4,14
5,32,3,15
6,32,3,15
7,31,4,15
8,30,5,15
9,28,7,15
10,28,7,15
11,26,9,15
12,23,12,15
13,21,14,15
14,18,17,15
15,15,19,16
16,11,21,18
17,10,22,18
18,7,24,19
19,7,23,20
20,5,23,22
21,2,26,22
22,2,25,23
23,2,24,24
24,1,25,24
25,1,23,26
26,1,22,27
27,1,22,27
28,1,20,29
29,1,19,30
30,1,18,31
31,1,16,33
32,1,15,34
33,1,14,35
34,1,14,35
35,1,14,35
36,1,14,35
37,1,12,37
38,1,11,38
39,1,11,38
40,1,11,38
41,1,10,39
42,1,9,40
43,1,8,41
44,1,8,41
45,1,8,41
46,0,9,41
47,0,8,42
48,0,7,43
49,0,6,44
50,0,5,45
51,0,5,45
52,0,5,45
53,0,4,46
54,0,3,47
55,0,3,47
56,0,3,47
57,0,3,47
58,0,2,48
59,0,2,48
60,0,2,48
61,0,2,48
62,0,1,49
63,0,1,49
64,0,1,49
65,0,1,49
66,0,1,49
67,0,1,49
68,0,1,49
69,0,1,49
70,0,1,49
71,0,1,49
72,0,1,49
73,0,1,49
74,0,1,49
75,0,1,49
76,0,1,49
77,0,1,49
78,0,1,49
79,0,1,49
80,0,1,49
81,0,1,49
82,0,1,49
83,0,1,49
84,0,1,49
85,0,1,49
86,0,1,49
87,0,1,49
88,0,1,49
89,0,1,49
90,0,1,49
91,0,1,49
92,0,1,49
93,0,1,49
94,0,1,49
95,0,1,49
96,0,1,49
97,0,1,49
98,0,1,49
99,0,0,50
