step,S,I,R
0,34,2,14
1,33,2,15
2,32,3,15
3,32,3,15
4,31,3,16
5,31,3,16
6,31,3,16
7,30,4,16
8,28,6,16
9,27,7,16
10,26,7,17
11,25,8,17
12,23,9,18
13,23,8,19
14,23,8,19
15,21,10,19
16,17,14,19
17,13,17,20
18,11,19,20
19,11,17,22
20,11,15,24
21,10,16,24
22,9,16,25
23,8,16,26
24,7,16,27
25,6,17,27
26,5,17,28
27,3,18,29
28,3,17,30
29,3,15,32
30,3,14,33
31,3,13,34
32,2,14,34
33,2,12,36
34,2,12,36
35,2,12,36
36,2,11,37
37,2,11,37
38,2,11,37
39,2,11,37
40,2,11,37
41,2,11,37
42,1,12,37
43,1,11,38
44,1,11,38
45,1,10,39
46,1,10,39
47,1,9,40
48,1,9,40
49,1,9,40
50,1,8,41
51,1,7,42
52,1,7,42
53,1,7,42
54,1,7,42
55,1,7,42
56,0,7,43
57,0,7,43
58,0,6,44
59,0,6,44
60,0,6,44
61,0,6,44
62,0,5,45
63,0,4,46
64,0,4,46
65,0,4,46
66,0,4,46
67,0,3,47
68,0,3,47
69,0,3,47
70,0,3,47
71,0,3,47
72,0,3,47
73,0,3,47
74,0,3,47
75,0,3,47
76,0,3,47
77,0,3,47
78,0,3,47
79,0,2,48
80,0,2,48
81,0,2,48
82,0,2,48
83,0,2,48
84,0,2,48
85,0,2,48
86,0,2,48
87,0,1,49
88,0,1,49
89,0,1,49
90,0,1,49
91,0,1,49
92,0,1,49
93,0,1,49
94,0,1,49
95,0,1,49
96,0,1,49
97,0,1,49
98,0,1,49
99,0,1,49
100,0,1,49
101,0,1,49
102,0,1,49
103,0,0,50
